VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
1,26,0,1,1,0,1,1,San Juan de Lurigancho
1,1,0,0,1,0,0,1,San Juan de Lurigancho
1,44,0,1,1,0,1,1,Villa Maria del Triunfo
1,8,0,0,1,0,0,1,Villa El Salvador
1,37,0,0,1,0,0,1,La Victoria
1,42,0,1,1,0,1,1,Barranco
1,42,0,1,1,0,1,1,Lima
1,42,0,1,1,0,1,1,Lima
1,16,0,0,1,0,0,1,Ate
1,42,0,1,1,0,1,1,San Miguel
1,12,0,0,1,1,0,1,San Martin de Porres
1,9,0,0,1,1,0,1,San Miguel
1,32,0,1,1,0,1,0,Santiago de Surco
1,58,0,1,1,0,0,1,Comas
1,21,0,0,1,0,1,1,Los Olivos
1,17,0,0,1,1,0,1,La Molina
1,17,0,0,1,1,0,1,La Molina
1,15,0,0,1,1,0,1,La Molina
1,15,0,0,1,1,0,1,La Molina
1,20,0,0,1,0,0,1,Villa El Salvador
1,22,0,1,1,0,0,1,San Miguel
1,37,0,0,1,0,0,1,Comas
1,32,0,0,1,0,1,0,Miraflores
1,84,0,1,1,0,0,1,San Martin de Porres
1,25,0,0,1,0,1,1,Lima
1,40,0,1,1,0,0,1,La Molina
1,56,0,1,1,0,1,1,San Borja
1,84,0,1,1,0,0,1,San Juan de Lurigancho
1,21,0,1,1,0,0,1,Ate
1,24,0,0,1,0,1,0,Los Olivos
1,11,0,0,1,0,0,1,Cieneguilla
1,9,0,0,1,0,0,1,Cieneguilla
1,30,0,0,1,0,0,0,San Borja
1,27,0,0,1,0,0,1,Comas
1,18,0,0,1,1,0,0,San Martin de Porres
1,30,0,1,1,0,0,1,San Martin de Porres
1,25,0,0,1,1,1,1,San Miguel
1,45,0,1,1,0,0,0,Lince
1,6,0,0,1,1,0,1,Lima
1,27,0,1,1,0,0,0,San Martin de Porres
1,23,0,0,1,0,0,1,San Martin de Porres
1,6,0,0,1,1,0,1,San Juan de Miraflores
1,14,0,0,1,1,0,1,San Martin de Porres
1,24,0,1,1,0,0,1,San Martin de Porres
1,5,0,0,1,1,0,1,San Martin de Porres
1,3,0,0,1,1,0,1,San Martin de Porres
1,20,0,1,1,0,0,0,San Juan de Lurigancho
1,29,1,0,1,0,1,1,Lima
1,15,0,0,1,1,0,1,San Martin de Porres
1,26,0,1,1,0,1,1,San Martin de Porres
1,46,0,1,1,0,0,0,Los Olivos
1,4,0,0,1,1,0,1,Los Olivos
1,41,0,1,1,0,1,1,San Martin de Porres
